Time stamp;Contador;RSSI_DL;RSSI_UL;Perdas;PSR
23/01/2026 19:17:59;1;-46;-69;0;100.0
23/01/2026 19:18:00;2;-59;-46;0;100.0
23/01/2026 19:18:01;3;-69;-63;0;100.0
23/01/2026 19:18:02;4;-64;-68;0;100.0
23/01/2026 19:18:03;5;-46;-54;0;100.0
23/01/2026 19:18:04;6;-59;-50;0;100.0
23/01/2026 19:18:05;7;-51;-58;0;100.0
23/01/2026 19:18:06;8;-64;-53;0;100.0
23/01/2026 19:18:07;9;-46;-62;0;100.0
23/01/2026 19:18:08;10;-59;-61;0;100.0
23/01/2026 19:18:09;11;-53;-49;0;100.0
23/01/2026 19:18:10;12;-60;-56;0;100.0
23/01/2026 19:18:11;13;-63;-56;0;100.0
23/01/2026 19:18:12;14;-49;-45;0;100.0
23/01/2026 19:18:13;15;-63;-63;0;100.0
23/01/2026 19:18:14;16;-69;-65;0;100.0
23/01/2026 19:18:15;17;-52;-45;0;100.0
23/01/2026 19:18:16;18;-70;-47;0;100.0
23/01/2026 19:18:17;19;-61;-61;0;100.0
23/01/2026 19:18:18;20;-66;-60;0;100.0
23/01/2026 19:18:19;21;-61;-59;0;100.0
23/01/2026 19:18:20;22;-70;-49;0;100.0
23/01/2026 19:18:22;23;-66;-47;0;100.0
23/01/2026 19:18:23;24;-62;-46;0;100.0
23/01/2026 19:18:24;25;-47;-59;0;100.0
23/01/2026 19:18:25;26;-52;-57;0;100.0
23/01/2026 19:18:26;27;-63;-68;0;100.0
23/01/2026 19:18:27;28;-49;-45;0;100.0
23/01/2026 19:18:28;29;-62;-59;0;100.0
23/01/2026 19:18:29;30;-46;-65;0;100.0
23/01/2026 19:18:30;31;-58;-46;0;100.0
23/01/2026 19:18:31;32;-45;-57;0;100.0
23/01/2026 19:18:32;33;-52;-66;0;100.0
23/01/2026 19:18:33;34;-65;-66;0;100.0
23/01/2026 19:18:34;35;-49;-62;0;100.0
23/01/2026 19:18:35;36;-45;-63;0;100.0
23/01/2026 19:18:36;37;-46;-52;0;100.0
23/01/2026 19:18:37;38;-69;-49;0;100.0
23/01/2026 19:18:38;39;-47;-52;0;100.0
23/01/2026 19:18:39;40;-46;-67;0;100.0
23/01/2026 19:18:40;41;-55;-60;0;100.0
23/01/2026 19:18:41;42;-56;-64;0;100.0
23/01/2026 19:18:42;43;-57;-46;0;100.0
23/01/2026 19:18:43;44;-60;-45;0;100.0
23/01/2026 19:18:44;45;-60;-67;0;100.0
23/01/2026 19:18:45;46;-44;-65;0;100.0
23/01/2026 19:18:46;47;-58;-55;0;100.0
23/01/2026 19:18:47;48;-55;-53;0;100.0
23/01/2026 19:18:48;49;-46;-55;0;100.0
23/01/2026 19:18:49;50;-56;-67;0;100.0
